Vardas              Pavarde             Galutinis (Vid.)    
Vardas5151          Pavarde5151         7.60                
Vardas5152          Pavarde5152         5.40                
Vardas5153          Pavarde5153         7.40                
Vardas5154          Pavarde5154         8.20                
Vardas5155          Pavarde5155         8.40                
Vardas5158          Pavarde5158         5.40                
Vardas5165          Pavarde5165         6.60                
Vardas5167          Pavarde5167         7.20                
Vardas5170          Pavarde5170         6.40                
Vardas5172          Pavarde5172         6.20                
Vardas5173          Pavarde5173         5.20                
Vardas5176          Pavarde5176         7.80                
Vardas5177          Pavarde5177         7.00                
Vardas5178          Pavarde5178         7.60                
Vardas5179          Pavarde5179         7.20                
Vardas518           Pavarde518          7.60                
Vardas5180          Pavarde5180         6.80                
Vardas5182          Pavarde5182         7.00                
Vardas5183          Pavarde5183         5.20                
Vardas5184          Pavarde5184         7.20                
Vardas5188          Pavarde5188         7.00                
Vardas5189          Pavarde5189         7.20                
Vardas5190          Pavarde5190         6.60                
Vardas5191          Pavarde5191         6.40                
Vardas5192          Pavarde5192         6.20                
Vardas5193          Pavarde5193         7.80                
Vardas5195          Pavarde5195         6.00                
Vardas520           Pavarde520          8.00                
Vardas5202          Pavarde5202         5.60                
Vardas5203          Pavarde5203         7.60                
Vardas5207          Pavarde5207         8.00                
Vardas5209          Pavarde5209         6.00                
Vardas521           Pavarde521          7.00                
Vardas5211          Pavarde5211         8.40                
Vardas5212          Pavarde5212         7.80                
Vardas5214          Pavarde5214         5.40                
Vardas5216          Pavarde5216         7.60                
Vardas5218          Pavarde5218         5.40                
Vardas522           Pavarde522          7.80                
Vardas5220          Pavarde5220         7.80                
Vardas5221          Pavarde5221         8.00                
Vardas5222          Pavarde5222         5.80                
Vardas5223          Pavarde5223         6.80                
Vardas5224          Pavarde5224         7.00                
Vardas5227          Pavarde5227         8.00                
Vardas5228          Pavarde5228         6.00                
Vardas5229          Pavarde5229         8.00                
Vardas523           Pavarde523          8.00                
Vardas5230          Pavarde5230         7.80                
Vardas5233          Pavarde5233         7.40                
Vardas5235          Pavarde5235         7.40                
Vardas5236          Pavarde5236         5.60                
Vardas5238          Pavarde5238         8.00                
Vardas5239          Pavarde5239         5.20                
Vardas524           Pavarde524          8.20                
Vardas5242          Pavarde5242         6.80                
Vardas5243          Pavarde5243         7.60                
Vardas5246          Pavarde5246         8.20                
Vardas5247          Pavarde5247         7.60                
Vardas5248          Pavarde5248         6.60                
Vardas5249          Pavarde5249         7.00                
Vardas5251          Pavarde5251         6.40                
Vardas5252          Pavarde5252         6.00                
Vardas5253          Pavarde5253         6.00                
Vardas5256          Pavarde5256         5.80                
Vardas5259          Pavarde5259         5.80                
Vardas5260          Pavarde5260         7.60                
Vardas5261          Pavarde5261         7.00                
Vardas5262          Pavarde5262         7.00                
Vardas5263          Pavarde5263         7.40                
Vardas5264          Pavarde5264         5.00                
Vardas5269          Pavarde5269         5.20                
Vardas5272          Pavarde5272         7.60                
Vardas5273          Pavarde5273         6.40                
Vardas5275          Pavarde5275         7.00                
Vardas5276          Pavarde5276         7.20                
Vardas5278          Pavarde5278         7.60                
Vardas5279          Pavarde5279         5.00                
Vardas5280          Pavarde5280         6.00                
Vardas5281          Pavarde5281         7.60                
Vardas5282          Pavarde5282         7.00                
Vardas5285          Pavarde5285         8.00                
Vardas5286          Pavarde5286         5.80                
Vardas5287          Pavarde5287         5.80                
Vardas5288          Pavarde5288         6.20                
Vardas5289          Pavarde5289         8.00                
Vardas529           Pavarde529          5.00                
Vardas5290          Pavarde5290         5.00                
Vardas5293          Pavarde5293         8.20                
Vardas5296          Pavarde5296         7.80                
Vardas5297          Pavarde5297         5.40                
Vardas5298          Pavarde5298         6.80                
Vardas5299          Pavarde5299         5.20                
Vardas53            Pavarde53           6.60                
Vardas5300          Pavarde5300         6.80                
Vardas5301          Pavarde5301         6.60                
Vardas5303          Pavarde5303         7.40                
Vardas5306          Pavarde5306         5.20                
Vardas5307          Pavarde5307         6.60                
Vardas5308          Pavarde5308         6.20                
Vardas5309          Pavarde5309         6.40                
Vardas5310          Pavarde5310         6.60                
Vardas5311          Pavarde5311         5.80                
Vardas5314          Pavarde5314         5.40                
Vardas5315          Pavarde5315         6.00                
Vardas5318          Pavarde5318         8.40                
Vardas5319          Pavarde5319         7.20                
Vardas5321          Pavarde5321         5.80                
Vardas5322          Pavarde5322         7.60                
Vardas5323          Pavarde5323         5.60                
Vardas5324          Pavarde5324         6.60                
Vardas5325          Pavarde5325         8.00                
Vardas5326          Pavarde5326         7.40                
Vardas5328          Pavarde5328         5.00                
Vardas5329          Pavarde5329         5.40                
Vardas533           Pavarde533          5.00                
Vardas5330          Pavarde5330         6.40                
Vardas5331          Pavarde5331         8.00                
Vardas5337          Pavarde5337         5.80                
Vardas5340          Pavarde5340         6.60                
Vardas5342          Pavarde5342         6.80                
Vardas5343          Pavarde5343         7.40                
Vardas5347          Pavarde5347         8.00                
Vardas535           Pavarde535          8.00                
Vardas5354          Pavarde5354         5.20                
Vardas5355          Pavarde5355         6.00                
Vardas5356          Pavarde5356         5.40                
Vardas5357          Pavarde5357         6.40                
Vardas536           Pavarde536          8.80                
Vardas5360          Pavarde5360         6.60                
Vardas5361          Pavarde5361         9.20                
Vardas5366          Pavarde5366         7.20                
Vardas5369          Pavarde5369         5.20                
Vardas5372          Pavarde5372         7.80                
Vardas5375          Pavarde5375         6.60                
Vardas5377          Pavarde5377         6.00                
Vardas5378          Pavarde5378         7.40                
Vardas5380          Pavarde5380         7.00                
Vardas5383          Pavarde5383         7.00                
Vardas5385          Pavarde5385         5.80                
Vardas5388          Pavarde5388         6.60                
Vardas5389          Pavarde5389         8.40                
Vardas539           Pavarde539          7.60                
Vardas5390          Pavarde5390         8.40                
Vardas5394          Pavarde5394         7.60                
Vardas5395          Pavarde5395         5.80                
Vardas5396          Pavarde5396         6.60                
Vardas5398          Pavarde5398         7.20                
Vardas5399          Pavarde5399         7.00                
Vardas5401          Pavarde5401         5.40                
Vardas5402          Pavarde5402         8.20                
Vardas5403          Pavarde5403         8.40                
Vardas5404          Pavarde5404         6.20                
Vardas5405          Pavarde5405         6.80                
Vardas5406          Pavarde5406         6.60                
Vardas5408          Pavarde5408         5.20                
Vardas5409          Pavarde5409         6.00                
Vardas541           Pavarde541          7.80                
Vardas5410          Pavarde5410         8.00                
Vardas5413          Pavarde5413         7.40                
Vardas5414          Pavarde5414         5.60                
Vardas5418          Pavarde5418         5.60                
Vardas5419          Pavarde5419         5.20                
Vardas542           Pavarde542          6.00                
Vardas5421          Pavarde5421         7.20                
Vardas5424          Pavarde5424         6.20                
Vardas5425          Pavarde5425         7.40                
Vardas5427          Pavarde5427         5.60                
Vardas5428          Pavarde5428         5.80                
Vardas5432          Pavarde5432         5.00                
Vardas5433          Pavarde5433         6.80                
Vardas5434          Pavarde5434         7.60                
Vardas5435          Pavarde5435         8.40                
Vardas5437          Pavarde5437         6.80                
Vardas5439          Pavarde5439         6.40                
Vardas544           Pavarde544          6.00                
Vardas5440          Pavarde5440         8.40                
Vardas5444          Pavarde5444         8.40                
Vardas5447          Pavarde5447         7.60                
Vardas5448          Pavarde5448         7.00                
Vardas5450          Pavarde5450         7.80                
Vardas5457          Pavarde5457         5.60                
Vardas546           Pavarde546          7.40                
Vardas5460          Pavarde5460         7.40                
Vardas5462          Pavarde5462         5.60                
Vardas5463          Pavarde5463         8.20                
Vardas5464          Pavarde5464         7.40                
Vardas5465          Pavarde5465         8.00                
Vardas5466          Pavarde5466         5.80                
Vardas5468          Pavarde5468         6.40                
Vardas547           Pavarde547          8.20                
Vardas5471          Pavarde5471         5.00                
Vardas5472          Pavarde5472         5.00                
Vardas5474          Pavarde5474         8.40                
Vardas5476          Pavarde5476         7.60                
Vardas5477          Pavarde5477         8.00                
Vardas5478          Pavarde5478         5.20                
Vardas5481          Pavarde5481         6.20                
Vardas5482          Pavarde5482         5.80                
Vardas5483          Pavarde5483         5.60                
Vardas5486          Pavarde5486         6.40                
Vardas5487          Pavarde5487         5.20                
Vardas5488          Pavarde5488         7.40                
Vardas5490          Pavarde5490         6.00                
Vardas5491          Pavarde5491         5.40                
Vardas5493          Pavarde5493         7.20                
Vardas5495          Pavarde5495         6.60                
Vardas5498          Pavarde5498         5.80                
Vardas5499          Pavarde5499         6.60                
Vardas550           Pavarde550          6.60                
Vardas5501          Pavarde5501         6.20                
Vardas5502          Pavarde5502         5.00                
Vardas5504          Pavarde5504         6.80                
Vardas5505          Pavarde5505         8.40                
Vardas5506          Pavarde5506         6.40                
Vardas5507          Pavarde5507         6.40                
Vardas551           Pavarde551          8.00                
Vardas5510          Pavarde5510         6.00                
Vardas5511          Pavarde5511         5.40                
Vardas5512          Pavarde5512         5.00                
Vardas5513          Pavarde5513         6.00                
Vardas5514          Pavarde5514         6.60                
Vardas5517          Pavarde5517         5.00                
Vardas5523          Pavarde5523         6.00                
Vardas5524          Pavarde5524         6.20                
Vardas5525          Pavarde5525         6.80                
Vardas5526          Pavarde5526         8.40                
Vardas5527          Pavarde5527         5.40                
Vardas5531          Pavarde5531         5.60                
Vardas5533          Pavarde5533         6.20                
Vardas5534          Pavarde5534         7.00                
Vardas5537          Pavarde5537         5.40                
Vardas5538          Pavarde5538         5.20                
Vardas5541          Pavarde5541         5.80                
Vardas5543          Pavarde5543         6.40                
Vardas5544          Pavarde5544         7.80                
Vardas5545          Pavarde5545         5.00                
Vardas5546          Pavarde5546         7.40                
Vardas5547          Pavarde5547         7.20                
Vardas5548          Pavarde5548         7.60                
Vardas5549          Pavarde5549         5.00                
Vardas5551          Pavarde5551         7.00                
Vardas5554          Pavarde5554         7.20                
Vardas5556          Pavarde5556         7.60                
Vardas5557          Pavarde5557         7.80                
Vardas5558          Pavarde5558         7.40                
Vardas5559          Pavarde5559         8.20                
Vardas5561          Pavarde5561         6.60                
Vardas5562          Pavarde5562         6.20                
Vardas5563          Pavarde5563         5.20                
Vardas5564          Pavarde5564         5.80                
Vardas5565          Pavarde5565         5.00                
Vardas5567          Pavarde5567         5.00                
Vardas557           Pavarde557          7.20                
Vardas5570          Pavarde5570         6.80                
Vardas5575          Pavarde5575         8.80                
Vardas5578          Pavarde5578         6.00                
Vardas5579          Pavarde5579         5.80                
Vardas5580          Pavarde5580         6.00                
Vardas5581          Pavarde5581         6.60                
Vardas5583          Pavarde5583         7.80                
Vardas5585          Pavarde5585         6.80                
Vardas5587          Pavarde5587         8.40                
Vardas5589          Pavarde5589         7.60                
Vardas559           Pavarde559          7.00                
Vardas5590          Pavarde5590         5.00                
Vardas5592          Pavarde5592         5.80                
Vardas5593          Pavarde5593         5.60                
Vardas5594          Pavarde5594         8.20                
Vardas5595          Pavarde5595         7.00                
Vardas5596          Pavarde5596         5.20                
Vardas5598          Pavarde5598         5.80                
Vardas5599          Pavarde5599         5.00                
Vardas56            Pavarde56           7.60                
Vardas5601          Pavarde5601         6.80                
Vardas5602          Pavarde5602         9.20                
Vardas5603          Pavarde5603         6.00                
Vardas5604          Pavarde5604         6.60                
Vardas5608          Pavarde5608         6.20                
Vardas5609          Pavarde5609         6.80                
Vardas561           Pavarde561          7.80                
Vardas5610          Pavarde5610         7.40                
Vardas5611          Pavarde5611         5.00                
Vardas5612          Pavarde5612         5.00                
Vardas5613          Pavarde5613         5.80                
Vardas5614          Pavarde5614         8.00                
Vardas5616          Pavarde5616         6.80                
Vardas5617          Pavarde5617         6.80                
Vardas5619          Pavarde5619         5.80                
Vardas5621          Pavarde5621         6.20                
Vardas5624          Pavarde5624         7.80                
Vardas5625          Pavarde5625         7.60                
Vardas5627          Pavarde5627         5.80                
Vardas563           Pavarde563          7.20                
Vardas5630          Pavarde5630         7.20                
Vardas5631          Pavarde5631         7.00                
Vardas5638          Pavarde5638         6.80                
Vardas5640          Pavarde5640         6.00                
Vardas5641          Pavarde5641         6.80                
Vardas5644          Pavarde5644         6.80                
Vardas5645          Pavarde5645         7.60                
Vardas5648          Pavarde5648         7.20                
Vardas565           Pavarde565          5.40                
Vardas5652          Pavarde5652         8.00                
Vardas5653          Pavarde5653         6.00                
Vardas5654          Pavarde5654         6.00                
Vardas5655          Pavarde5655         8.00                
Vardas5657          Pavarde5657         6.60                
Vardas5659          Pavarde5659         8.40                
Vardas566           Pavarde566          7.60                
Vardas5660          Pavarde5660         6.00                
Vardas5664          Pavarde5664         5.00                
Vardas5665          Pavarde5665         5.80                
Vardas5666          Pavarde5666         5.00                
Vardas5667          Pavarde5667         6.40                
Vardas5668          Pavarde5668         5.00                
Vardas5669          Pavarde5669         7.20                
Vardas567           Pavarde567          7.60                
Vardas5673          Pavarde5673         5.40                
Vardas5674          Pavarde5674         5.20                
Vardas5677          Pavarde5677         5.40                
Vardas568           Pavarde568          6.80                
Vardas5681          Pavarde5681         5.60                
Vardas5684          Pavarde5684         8.00                
Vardas5685          Pavarde5685         7.60                
Vardas5687          Pavarde5687         5.00                
Vardas569           Pavarde569          7.00                
Vardas5690          Pavarde5690         5.40                
Vardas5691          Pavarde5691         6.20                
Vardas5693          Pavarde5693         7.60                
Vardas5694          Pavarde5694         6.80                
Vardas5695          Pavarde5695         7.00                
Vardas5696          Pavarde5696         7.40                
Vardas570           Pavarde570          8.40                
Vardas5702          Pavarde5702         8.00                
Vardas5705          Pavarde5705         8.80                
Vardas5706          Pavarde5706         6.40                
Vardas5707          Pavarde5707         6.80                
Vardas571           Pavarde571          5.60                
Vardas5710          Pavarde5710         5.60                
Vardas5711          Pavarde5711         8.20                
Vardas5713          Pavarde5713         6.60                
Vardas5714          Pavarde5714         5.60                
Vardas5715          Pavarde5715         7.40                
Vardas5716          Pavarde5716         6.00                
Vardas5717          Pavarde5717         7.40                
Vardas5718          Pavarde5718         6.20                
Vardas5719          Pavarde5719         5.20                
Vardas572           Pavarde572          5.00                
Vardas5720          Pavarde5720         6.20                
Vardas5721          Pavarde5721         6.20                
Vardas5722          Pavarde5722         5.00                
Vardas5723          Pavarde5723         5.40                
Vardas5724          Pavarde5724         6.20                
Vardas5727          Pavarde5727         6.00                
Vardas5728          Pavarde5728         7.40                
Vardas573           Pavarde573          6.60                
Vardas5730          Pavarde5730         7.00                
Vardas5731          Pavarde5731         6.20                
Vardas5732          Pavarde5732         6.40                
Vardas5733          Pavarde5733         5.00                
Vardas5737          Pavarde5737         8.80                
Vardas5740          Pavarde5740         8.00                
Vardas5741          Pavarde5741         7.60                
Vardas5742          Pavarde5742         6.80                
Vardas5743          Pavarde5743         6.00                
Vardas5744          Pavarde5744         5.20                
Vardas5745          Pavarde5745         7.40                
Vardas5747          Pavarde5747         7.40                
Vardas5749          Pavarde5749         6.00                
Vardas575           Pavarde575          5.00                
Vardas5752          Pavarde5752         5.20                
Vardas5757          Pavarde5757         5.20                
Vardas5759          Pavarde5759         7.20                
Vardas576           Pavarde576          6.40                
Vardas5760          Pavarde5760         7.20                
Vardas5762          Pavarde5762         5.60                
Vardas5764          Pavarde5764         6.20                
Vardas5767          Pavarde5767         8.00                
Vardas5768          Pavarde5768         8.60                
Vardas5769          Pavarde5769         6.20                
Vardas5772          Pavarde5772         5.60                
Vardas5774          Pavarde5774         7.80                
Vardas5779          Pavarde5779         6.60                
Vardas578           Pavarde578          7.60                
Vardas5781          Pavarde5781         5.00                
Vardas5782          Pavarde5782         7.00                
Vardas5785          Pavarde5785         6.20                
Vardas5786          Pavarde5786         8.00                
Vardas5787          Pavarde5787         8.40                
Vardas5789          Pavarde5789         5.00                
Vardas5793          Pavarde5793         6.40                
Vardas5794          Pavarde5794         6.20                
Vardas5796          Pavarde5796         6.00                
Vardas5797          Pavarde5797         7.20                
Vardas5798          Pavarde5798         7.00                
Vardas5800          Pavarde5800         7.20                
Vardas5801          Pavarde5801         5.40                
Vardas5803          Pavarde5803         6.40                
Vardas5806          Pavarde5806         5.60                
Vardas5809          Pavarde5809         5.40                
Vardas581           Pavarde581          5.60                
Vardas5810          Pavarde5810         8.20                
Vardas5815          Pavarde5815         7.40                
Vardas5817          Pavarde5817         7.40                
Vardas5819          Pavarde5819         6.60                
Vardas5821          Pavarde5821         7.40                
Vardas5822          Pavarde5822         8.00                
Vardas5823          Pavarde5823         6.40                
Vardas5824          Pavarde5824         8.80                
Vardas5825          Pavarde5825         9.20                
Vardas5826          Pavarde5826         7.20                
Vardas5829          Pavarde5829         8.00                
Vardas5831          Pavarde5831         7.00                
Vardas5832          Pavarde5832         7.40                
Vardas5834          Pavarde5834         6.00                
Vardas5835          Pavarde5835         6.80                
Vardas5837          Pavarde5837         8.40                
Vardas5838          Pavarde5838         5.40                
Vardas5840          Pavarde5840         5.40                
Vardas5842          Pavarde5842         7.00                
Vardas5845          Pavarde5845         7.60                
Vardas5846          Pavarde5846         7.80                
Vardas5849          Pavarde5849         6.00                
Vardas585           Pavarde585          5.40                
Vardas5850          Pavarde5850         6.80                
Vardas5852          Pavarde5852         5.60                
Vardas5853          Pavarde5853         6.20                
Vardas5854          Pavarde5854         8.80                
Vardas5856          Pavarde5856         6.00                
Vardas5858          Pavarde5858         5.40                
Vardas5859          Pavarde5859         5.80                
Vardas586           Pavarde586          5.20                
Vardas5860          Pavarde5860         7.80                
Vardas5861          Pavarde5861         5.20                
Vardas5863          Pavarde5863         5.20                
Vardas5864          Pavarde5864         8.00                
Vardas5866          Pavarde5866         6.60                
Vardas5867          Pavarde5867         5.00                
Vardas5869          Pavarde5869         7.20                
Vardas587           Pavarde587          6.40                
Vardas5870          Pavarde5870         5.00                
Vardas5872          Pavarde5872         6.20                
Vardas5874          Pavarde5874         7.40                
Vardas5875          Pavarde5875         6.60                
Vardas5878          Pavarde5878         7.60                
Vardas588           Pavarde588          5.60                
Vardas5880          Pavarde5880         7.20                
Vardas5881          Pavarde5881         7.00                
Vardas5882          Pavarde5882         8.00                
Vardas5885          Pavarde5885         6.20                
Vardas5886          Pavarde5886         8.00                
Vardas589           Pavarde589          5.60                
Vardas5890          Pavarde5890         7.20                
Vardas5891          Pavarde5891         5.00                
Vardas5893          Pavarde5893         8.40                
Vardas5895          Pavarde5895         6.60                
Vardas5898          Pavarde5898         8.40                
Vardas59            Pavarde59           8.00                
Vardas590           Pavarde590          6.40                
Vardas5902          Pavarde5902         6.80                
Vardas5903          Pavarde5903         6.00                
Vardas5905          Pavarde5905         7.40                
Vardas5906          Pavarde5906         6.00                
Vardas5912          Pavarde5912         5.80                
Vardas5914          Pavarde5914         6.00                
Vardas5915          Pavarde5915         5.20                
Vardas5916          Pavarde5916         6.00                
Vardas5917          Pavarde5917         5.40                
Vardas5919          Pavarde5919         7.00                
Vardas592           Pavarde592          5.80                
Vardas5921          Pavarde5921         8.00                
Vardas5923          Pavarde5923         8.00                
Vardas5929          Pavarde5929         5.20                
Vardas593           Pavarde593          5.00                
Vardas5930          Pavarde5930         6.20                
Vardas5931          Pavarde5931         6.40                
Vardas5932          Pavarde5932         5.00                
Vardas5934          Pavarde5934         7.20                
Vardas5935          Pavarde5935         5.60                
Vardas5936          Pavarde5936         5.00                
Vardas5938          Pavarde5938         6.00                
Vardas5939          Pavarde5939         5.00                
Vardas594           Pavarde594          5.20                
Vardas5940          Pavarde5940         7.00                
Vardas5942          Pavarde5942         5.80                
Vardas5943          Pavarde5943         7.40                
Vardas5945          Pavarde5945         7.20                
Vardas5946          Pavarde5946         5.20                
Vardas5947          Pavarde5947         5.60                
Vardas5948          Pavarde5948         6.40                
Vardas5950          Pavarde5950         5.40                
Vardas5952          Pavarde5952         5.20                
Vardas5954          Pavarde5954         6.60                
Vardas5955          Pavarde5955         8.00                
Vardas5957          Pavarde5957         7.40                
Vardas5961          Pavarde5961         7.00                
Vardas5962          Pavarde5962         8.00                
Vardas5963          Pavarde5963         5.80                
Vardas5969          Pavarde5969         5.60                
Vardas597           Pavarde597          5.80                
Vardas5973          Pavarde5973         7.40                
Vardas5974          Pavarde5974         7.60                
Vardas5978          Pavarde5978         7.80                
Vardas5979          Pavarde5979         6.80                
Vardas598           Pavarde598          8.80                
Vardas5980          Pavarde5980         6.40                
Vardas5981          Pavarde5981         6.40                
Vardas5982          Pavarde5982         5.40                
Vardas5983          Pavarde5983         6.00                
Vardas5985          Pavarde5985         7.20                
Vardas599           Pavarde599          5.60                
Vardas5991          Pavarde5991         7.80                
Vardas5992          Pavarde5992         6.40                
Vardas5994          Pavarde5994         6.40                
Vardas5996          Pavarde5996         6.60                
Vardas5998          Pavarde5998         5.60                
Vardas60            Pavarde60           8.40                
Vardas6002          Pavarde6002         7.80                
Vardas6004          Pavarde6004         7.00                
Vardas6005          Pavarde6005         5.40                
Vardas6006          Pavarde6006         6.40                
Vardas6008          Pavarde6008         5.20                
Vardas6009          Pavarde6009         7.80                
Vardas601           Pavarde601          6.00                
Vardas6011          Pavarde6011         7.20                
Vardas6012          Pavarde6012         6.00                
Vardas6013          Pavarde6013         5.40                
Vardas6014          Pavarde6014         5.20                
Vardas6017          Pavarde6017         8.00                
Vardas6019          Pavarde6019         5.60                
Vardas602           Pavarde602          5.20                
Vardas6020          Pavarde6020         7.00                
Vardas6021          Pavarde6021         5.60                
Vardas6025          Pavarde6025         6.80                
Vardas6026          Pavarde6026         7.20                
Vardas6027          Pavarde6027         5.60                
Vardas6028          Pavarde6028         7.20                
Vardas6029          Pavarde6029         5.20                
Vardas6030          Pavarde6030         6.00                
Vardas6031          Pavarde6031         6.40                
Vardas6035          Pavarde6035         8.80                
Vardas6040          Pavarde6040         7.80                
Vardas6043          Pavarde6043         7.20                
Vardas6044          Pavarde6044         5.20                
Vardas6045          Pavarde6045         7.20                
Vardas6046          Pavarde6046         5.60                
Vardas6047          Pavarde6047         6.60                
Vardas605           Pavarde605          7.40                
Vardas6052          Pavarde6052         8.00                
Vardas6053          Pavarde6053         8.60                
Vardas6055          Pavarde6055         6.20                
Vardas6057          Pavarde6057         7.80                
Vardas6059          Pavarde6059         7.40                
Vardas606           Pavarde606          6.80                
Vardas6060          Pavarde6060         8.80                
Vardas6063          Pavarde6063         8.00                
Vardas6064          Pavarde6064         7.60                
Vardas6068          Pavarde6068         6.00                
Vardas6069          Pavarde6069         6.20                
Vardas6072          Pavarde6072         5.40                
Vardas6073          Pavarde6073         6.60                
Vardas6074          Pavarde6074         6.20                
Vardas6076          Pavarde6076         5.60                
Vardas6077          Pavarde6077         6.60                
Vardas6079          Pavarde6079         5.40                
Vardas6080          Pavarde6080         6.00                
Vardas6083          Pavarde6083         5.40                
Vardas6085          Pavarde6085         7.20                
Vardas6088          Pavarde6088         7.20                
Vardas6094          Pavarde6094         7.60                
Vardas6095          Pavarde6095         8.40                
Vardas6097          Pavarde6097         7.80                
Vardas6098          Pavarde6098         5.00                
Vardas61            Pavarde61           7.00                
Vardas610           Pavarde610          7.80                
Vardas6100          Pavarde6100         7.00                
Vardas6102          Pavarde6102         7.20                
Vardas6104          Pavarde6104         8.40                
Vardas6106          Pavarde6106         6.80                
Vardas6108          Pavarde6108         5.80                
Vardas6112          Pavarde6112         5.80                
Vardas6114          Pavarde6114         6.80                
Vardas6115          Pavarde6115         8.40                
Vardas6117          Pavarde6117         7.60                
Vardas6119          Pavarde6119         6.00                
Vardas612           Pavarde612          5.40                
Vardas6120          Pavarde6120         8.40                
Vardas6121          Pavarde6121         5.00                
Vardas6126          Pavarde6126         6.20                
Vardas6128          Pavarde6128         8.20                
Vardas613           Pavarde613          7.80                
Vardas6131          Pavarde6131         7.20                
Vardas6133          Pavarde6133         7.00                
Vardas6135          Pavarde6135         5.40                
Vardas6136          Pavarde6136         7.40                
Vardas6138          Pavarde6138         5.60                
Vardas614           Pavarde614          5.80                
Vardas6140          Pavarde6140         6.60                
Vardas6141          Pavarde6141         6.40                
Vardas6144          Pavarde6144         6.80                
Vardas6145          Pavarde6145         5.40                
Vardas6146          Pavarde6146         6.20                
Vardas6147          Pavarde6147         6.60                
Vardas6148          Pavarde6148         6.60                
Vardas615           Pavarde615          6.80                
Vardas6150          Pavarde6150         6.00                
Vardas6152          Pavarde6152         7.40                
Vardas6154          Pavarde6154         7.40                
Vardas6156          Pavarde6156         6.60                
Vardas6158          Pavarde6158         5.40                
Vardas6160          Pavarde6160         7.00                
Vardas6161          Pavarde6161         7.40                
Vardas6162          Pavarde6162         6.00                
Vardas6163          Pavarde6163         6.00                
Vardas6165          Pavarde6165         5.40                
Vardas6167          Pavarde6167         7.60                
Vardas6168          Pavarde6168         7.20                
Vardas6169          Pavarde6169         7.60                
Vardas617           Pavarde617          5.60                
Vardas6173          Pavarde6173         8.00                
Vardas6175          Pavarde6175         5.20                
Vardas6178          Pavarde6178         7.20                
Vardas618           Pavarde618          8.00                
Vardas6181          Pavarde6181         6.40                
Vardas6182          Pavarde6182         6.20                
Vardas6183          Pavarde6183         8.00                
Vardas6184          Pavarde6184         8.40                
Vardas6186          Pavarde6186         6.60                
Vardas6187          Pavarde6187         6.20                
Vardas6189          Pavarde6189         6.40                
Vardas6190          Pavarde6190         7.60                
Vardas6191          Pavarde6191         5.00                
Vardas6194          Pavarde6194         6.20                
Vardas6195          Pavarde6195         8.00                
Vardas6196          Pavarde6196         7.00                
Vardas6199          Pavarde6199         5.80                
Vardas62            Pavarde62           5.00                
Vardas6201          Pavarde6201         6.80                
Vardas6202          Pavarde6202         5.80                
Vardas6204          Pavarde6204         7.20                
Vardas6207          Pavarde6207         7.40                
Vardas6208          Pavarde6208         5.00                
Vardas621           Pavarde621          5.80                
Vardas6212          Pavarde6212         8.80                
Vardas6215          Pavarde6215         7.60                
Vardas6216          Pavarde6216         6.80                
Vardas6217          Pavarde6217         6.40                
Vardas6218          Pavarde6218         8.00                
Vardas6219          Pavarde6219         5.40                
Vardas622           Pavarde622          6.80                
Vardas6220          Pavarde6220         7.60                
Vardas6221          Pavarde6221         5.40                
Vardas6224          Pavarde6224         8.40                
Vardas6225          Pavarde6225         6.60                
Vardas6226          Pavarde6226         5.20                
Vardas6228          Pavarde6228         6.40                
Vardas6229          Pavarde6229         6.00                
Vardas623           Pavarde623          7.80                
Vardas6230          Pavarde6230         7.60                
Vardas6231          Pavarde6231         5.00                
Vardas6232          Pavarde6232         7.80                
Vardas6233          Pavarde6233         8.00                
Vardas6235          Pavarde6235         5.40                
Vardas6237          Pavarde6237         5.60                
Vardas624           Pavarde624          7.00                
Vardas6240          Pavarde6240         5.80                
Vardas6242          Pavarde6242         8.80                
Vardas6248          Pavarde6248         8.00                
Vardas6250          Pavarde6250         7.40                
Vardas6252          Pavarde6252         6.80                
Vardas6254          Pavarde6254         5.40                
Vardas6255          Pavarde6255         7.20                
Vardas6256          Pavarde6256         7.20                
Vardas6257          Pavarde6257         5.60                
Vardas6259          Pavarde6259         6.00                
Vardas626           Pavarde626          6.20                
Vardas6261          Pavarde6261         8.40                
Vardas6264          Pavarde6264         6.80                
Vardas6267          Pavarde6267         6.40                
Vardas6268          Pavarde6268         7.20                
Vardas627           Pavarde627          8.80                
Vardas6272          Pavarde6272         8.00                
Vardas6273          Pavarde6273         5.00                
Vardas6275          Pavarde6275         5.20                
Vardas6276          Pavarde6276         7.80                
Vardas6277          Pavarde6277         7.60                
Vardas6279          Pavarde6279         7.60                
Vardas6280          Pavarde6280         7.20                
Vardas6281          Pavarde6281         5.00                
Vardas6283          Pavarde6283         7.20                
Vardas6284          Pavarde6284         5.20                
Vardas6286          Pavarde6286         8.80                
Vardas6287          Pavarde6287         6.60                
Vardas6289          Pavarde6289         7.80                
Vardas629           Pavarde629          5.60                
Vardas6291          Pavarde6291         6.20                
Vardas6293          Pavarde6293         6.80                
Vardas6294          Pavarde6294         5.80                
Vardas6295          Pavarde6295         6.60                
Vardas6296          Pavarde6296         6.60                
Vardas63            Pavarde63           8.40                
Vardas6300          Pavarde6300         7.00                
Vardas6301          Pavarde6301         7.80                
Vardas6302          Pavarde6302         7.00                
Vardas6304          Pavarde6304         6.40                
